x y z c
6.25 -9.5 -19 0
6.75 -9.5 -19 0
7.25 -9.5 -19 0
7.75 -9.5 -19 0
8.25 -9.5 -19 0
8.75 -9.5 -19 0
9.25 -9.5 -19 0
9.75 -9.5 -19 0
10.25 -9.5 -19 0
10.75 -9.5 -19 0
11.25 -9.5 -19 0
11.75 -9.5 -19 0
12.5 -9.5 -19 0
13.5 -9.5 -19 0
14.5 -9.5 -19 0
15.5 -9.5 -19 0
16.5 -9.5 -19 0
17.5 -9.5 -19 0
18.5 -9.5 -19 0
19.5 -9.5 -19 0
20.5 -9.5 -19 0
21.5 -9.5 -19 0
22.5 -9.5 -19 0
23.5 -9.5 -19 0
24.5 -9.5 -19 0
25.5 -9.5 -19 0
26.5 -9.5 -19 0
27.5 -9.5 -19 0
28.5 -9.5 -19 0
29.5 -9.5 -19 0
31 -9.5 -19 0
33 -9.5 -19 0
36 -9.5 -19 0
40 -9.5 -19 0
44 -9.5 -19 0
48 -9.5 -19 0
-0.25 -8.5 -19 0
0.25 -8.5 -19 0
0.75 -8.5 -19 0
1.25 -8.5 -19 0
1.75 -8.5 -19 0
2.25 -8.5 -19 0
2.75 -8.5 -19 0
3.25 -8.5 -19 0
3.75 -8.5 -19 0
4.25 -8.5 -19 0
4.75 -8.5 -19 0
5.25 -8.5 -19 0
5.75 -8.5 -19 0
6.25 -8.5 -19 0
6.75 -8.5 -19 0
7.25 -8.5 -19 0
7.75 -8.5 -19 0
8.25 -8.5 -19 0
8.75 -8.5 -19 0
9.25 -8.5 -19 0
9.75 -8.5 -19 0
10.25 -8.5 -19 0
10.75 -8.5 -19 0
11.25 -8.5 -19 0
11.75 -8.5 -19 0
12.5 -8.5 -19 0
13.5 -8.5 -19 0
14.5 -8.5 -19 0
15.5 -8.5 -19 0
16.5 -8.5 -19 0
17.5 -8.5 -19 0
18.5 -8.5 -19 0
19.5 -8.5 -19 0
20.5 -8.5 -19 0
21.5 -8.5 -19 0
22.5 -8.5 -19 0
23.5 -8.5 -19 0
24.5 -8.5 -19 0
25.5 -8.5 -19 0
26.5 -8.5 -19 0
27.5 -8.5 -19 0
28.5 -8.5 -19 0
29.5 -8.5 -19 0
31 -8.5 -19 0
33 -8.5 -19 0
36 -8.5 -19 0
40 -8.5 -19 0
44 -8.5 -19 0
48 -8.5 -19 0
-0.25 -7.5 -19 0
0.25 -7.5 -19 0
0.75 -7.5 -19 0
1.25 -7.5 -19 0
1.75 -7.5 -19 0
2.25 -7.5 -19 0
2.75 -7.5 -19 0
3.25 -7.5 -19 0
3.75 -7.5 -19 0
4.25 -7.5 -19 0
4.75 -7.5 -19 0
5.25 -7.5 -19 0
5.75 -7.5 -19 0
6.25 -7.5 -19 0
6.75 -7.5 -19 0
7.25 -7.5 -19 0
7.75 -7.5 -19 0
8.25 -7.5 -19 0
8.75 -7.5 -19 0
9.25 -7.5 -19 0
9.75 -7.5 -19 0
10.25 -7.5 -19 0
10.75 -7.5 -19 0
11.25 -7.5 -19 0
11.75 -7.5 -19 0
12.5 -7.5 -19 0
13.5 -7.5 -19 0
14.5 -7.5 -19 0
15.5 -7.5 -19 0
16.5 -7.5 -19 0
17.5 -7.5 -19 0
18.5 -7.5 -19 0
19.5 -7.5 -19 0
20.5 -7.5 -19 0
21.5 -7.5 -19 0
22.5 -7.5 -19 0
23.5 -7.5 -19 0
24.5 -7.5 -19 0
25.5 -7.5 -19 0
26.5 -7.5 -19 0
27.5 -7.5 -19 0
28.5 -7.5 -19 0
29.5 -7.5 -19 0
31 -7.5 -19 0
33 -7.5 -19 0
36 -7.5 -19 0
40 -7.5 -19 0
44 -7.5 -19 0
48 -7.5 -19 0
-0.25 -6.5 -19 0
0.25 -6.5 -19 0
0.75 -6.5 -19 0
1.25 -6.5 -19 0
1.75 -6.5 -19 0
2.25 -6.5 -19 0
2.75 -6.5 -19 0
3.25 -6.5 -19 0
3.75 -6.5 -19 0
4.25 -6.5 -19 0
4.75 -6.5 -19 0
5.25 -6.5 -19 0
